"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Washington County, MS"	"28151"	2710	174646	1551.7
	"Wayne County, MS"	"28153"	987	81115	1216.8
	"Webster County, MS"	"28155"	647	38829	1666.3
	"Wilkinson County, MS"	"28157"	523	34124	1532.6
	"Winston County, MS"	"28159"	1077	71810	1499.8
	"Yalobusha County, MS"	"28161"	815	48464	1681.7
	"Yazoo County, MS"	"28163"	1297	111902	1159.0
	"Adair County, MO"	"29001"	980	101480	965.7
	"Andrew County, MO"	"29003"	723	70491	1025.7
	"Atchison County, MO"	"29005"	346	20506	1687.3
	"Audrain County, MO"	"29007"	1333	100531	1326.0
	"Barry County, MO"	"29009"	1876	143311	1309.0
	"Barton County, MO"	"29011"	584	46736	1249.6
	"Bates County, MO"	"29013"	861	64976	1325.1
	"Benton County, MO"	"29015"	1354	77975	1736.5
	"Bollinger County, MO"	"29017"	598	48524	1232.4
	"Boone County, MO"	"29019"	5128	726450	705.9
	"Buchanan County, MO"	"29021"	4074	348995	1167.4
	"Butler County, MO"	"29023"	2519	169473	1486.4
	"Caldwell County, MO"	"29025"	472	36230	1302.8
	"Callaway County, MO"	"29027"	1873	179406	1044.0
	"Camden County, MO"	"29029"	2322	184948	1255.5
	"Cape Girardeau County, MO"	"29031"	3603	316648	1137.9
	"Carroll County, MO"	"29033"	467	34530	1352.4
	"Carter County, MO"	"29035"	364	24018	1515.5
	"Cass County, MO"	"29037"	4338	424346	1022.3
	"Cedar County, MO"	"29039"	847	57158	1481.9
	"Chariton County, MO"	"29041"	440	29597	1486.6
	"Christian County, MO"	"29043"	3164	356888	886.6
	"Clark County, MO"	"29045"	362	27299	1326.1
	"Clay County, MO"	"29047"	8010	1003239	798.4
	"Clinton County, MO"	"29049"	1034	81963	1261.5
	"Cole County, MO"	"29051"	3046	305923	995.7
	"Cooper County, MO"	"29053"	807	69516	1160.9
	"Crawford County, MO"	"29055"	1357	95355	1423.1
	"Dade County, MO"	"29057"	479	30266	1582.6
	"Dallas County, MO"	"29059"	1019	68078	1496.8
	"Daviess County, MO"	"29061"	383	33157	1155.1
	"DeKalb County, MO"	"29063"	537	47065	1141.0
	"Dent County, MO"	"29065"	925	61976	1492.5
	"Douglas County, MO"	"29067"	815	53246	1530.6
	"Dunklin County, MO"	"29069"	1958	116310	1683.4
	"Franklin County, MO"	"29071"	4751	416575	1140.5
	"Gasconade County, MO"	"29073"	945	58543	1614.2
	"Gentry County, MO"	"29075"	390	26167	1490.4
	"Greene County, MO"	"29077"	12729	1175003	1083.3
	"Grundy County, MO"	"29079"	546	38954	1401.7
	"Harrison County, MO"	"29081"	445	33408	1332.0
	"Henry County, MO"	"29083"	1291	87768	1470.9
	"Hickory County, MO"	"29085"	650	38225	1700.5
